date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	0	0			
2020-03-19	0	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	2	0			
2020-03-27	2	0			
2020-03-28	4	0			
2020-03-29	4	0			
2020-03-30	8	0			
2020-03-31	10	0			
2020-04-01	11	0			
2020-04-02	11	0			
2020-04-03	19	0			
2020-04-04	28	1			
2020-04-05	29	2			
2020-04-06	34	2			
2020-04-07	48	2			
2020-04-08	107	2			
2020-04-09	128	2			
2020-04-10	166	2			
2020-04-11	193	3			
2020-04-12	230	5			
2020-04-13	242	5			
2020-04-14	307	6			
2020-04-15	334	7			
2020-04-16	362	9			
2020-04-17	370	10			
2020-04-18	393	10			
2020-04-19	416	11			
2020-04-20	433	13			
2020-04-21	457	13			
2020-04-22	479	14			
2020-04-23	548	16			
2020-04-24	633	18			
2020-04-25	685	19			
2020-04-26	798	21			
2020-04-27	842	26			
2020-04-28	918	28			
2020-04-29	1016	31			
2020-04-30	1080	34			
