date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	5	0			
2020-03-18	9	0			
2020-03-19	20	0			
2020-03-20	55	0			
2020-03-21	68	0			
2020-03-22	112	0			
2020-03-23	163	0			
2020-03-24	182	0			
2020-03-25	200	0			
2020-03-26	235	3			
2020-03-27	282	3			
2020-03-28	314	4			
2020-03-29	348	5			
2020-03-30	372	5			
2020-03-31	390	7			
2020-04-01	444	8			
2020-04-02	550	20			
2020-04-03	627	22			
2020-04-04	730	22			
2020-04-05	823	26			
2020-04-06	1013	29			
2020-04-07	1051	31			
2020-04-08	1291	43			
2020-04-09	1425	55			
2020-04-10	1478	58			
2020-04-11	1582	67			
2020-04-12	1676	74			
2020-04-13	1800	91			
2020-04-14	2005	107			
2020-04-15	2157	116			
2020-04-16	2386	124			
2020-04-17	2684	149			
2020-04-18	3034	176			
2020-04-19	3252	186			
2020-04-20	3482	198			
2020-04-21	3716	215			
2020-04-22	3910	233			
2020-04-23	4598	266			
2020-04-24	4800	284			
2020-04-25	5421	310			
2020-04-26	5833	327			
2020-04-27	6726	390			
2020-04-28	6918	403			
2020-04-29	7267	441			
2020-04-30	7606	482			
