date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	2	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	6	0			
2020-03-15	8	0			
2020-03-16	13	0			
2020-03-17	22	0			
2020-03-18	26	0			
2020-03-19	42	0			
2020-03-20	87	0			
2020-03-21	100	0			
2020-03-22	117	0			
2020-03-23	133	0			
2020-03-24	160	0			
2020-03-25	160	0			
2020-03-26	200	0			
2020-03-27	230	0			
2020-03-28	260	0			
2020-03-29	289	1			
2020-03-30	312	1			
2020-03-31	332	3			
2020-04-01	355	3			
2020-04-02	370	4			
2020-04-03	402	5			
2020-04-04	454	7			
2020-04-05	468	7			
2020-04-06	473	10			
2020-04-07	492	12			
2020-04-08	509	12			
2020-04-09	527	13			
2020-04-10	555	14			
2020-04-11	579	14			
2020-04-12	614	14			
2020-04-13	638	15			
2020-04-14	651	17			
2020-04-15	682	17			
2020-04-16	716	20			
2020-04-17	746	20			
2020-04-18	762	24			
2020-04-19	827	24			
2020-04-20	872	24			
2020-04-21	881	24			
2020-04-22	946	25			
2020-04-23	963	25			
2020-04-24	989	26			
2020-04-25	1013	26			
2020-04-26	1066	27			
2020-04-27	1146	27			
2020-04-28	1213	28			
2020-04-29	1275	28			
2020-04-30	1356	30			
