date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	3	0			
2020-03-14	3	0			
2020-03-15	3	0			
2020-03-16	3	0			
2020-03-17	6	0			
2020-03-18	8	0			
2020-03-19	12	0			
2020-03-20	15	0			
2020-03-21	20	0			
2020-03-22	21	0			
2020-03-23	23	0			
2020-03-24	27	0			
2020-03-25	29	0			
2020-03-26	39	1			
2020-03-27	49	1			
2020-03-28	56	1			
2020-03-29	58	1			
2020-03-30	61	1			
2020-03-31	65	1			
2020-04-01	71	1			
2020-04-02	73	1			
2020-04-03	88	2			
2020-04-04	103	2			
2020-04-05	115	3			
2020-04-06	119	5			
2020-04-07	133	5			
2020-04-08	158	7			
2020-04-09	179	7			
2020-04-10	191	8			
2020-04-11	209	10			
2020-04-12	229	14			
2020-04-13	233	15			
2020-04-14	284	15			
2020-04-15	304	15			
2020-04-16	318	16			
2020-04-17	335	16			
2020-04-18	378	18			
2020-04-19	393	18			
2020-04-20	403	19			
2020-04-21	421	19			
2020-04-22	438	21			
2020-04-23	453	23			
2020-04-24	486	24			
2020-04-25	506	25			
2020-04-26	573	25			
2020-04-27	616	26			
2020-04-28	661	27			
2020-04-29	705	27			
2020-04-30	781	29			
