date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	1	0			
2020-03-12	1	0			
2020-03-13	2	0			
2020-03-14	2	0			
2020-03-15	2	0			
2020-03-16	5	0			
2020-03-17	7	0			
2020-03-18	15	0			
2020-03-19	29	0			
2020-03-20	35	0			
2020-03-21	38	0			
2020-03-22	83	0			
2020-03-23	128	0			
2020-03-24	130	0			
2020-03-25	133	0			
2020-03-26	153	0			
2020-03-27	189	0			
2020-03-28	205	0			
2020-03-29	231	0			
2020-03-30	261	1			
2020-03-31	275	2			
2020-04-01	314	3			
2020-04-02	370	4			
2020-04-03	397	6			
2020-04-04	430	6			
2020-04-05	498	6			
2020-04-06	525	9			
2020-04-07	559	11			
2020-04-08	614	14			
2020-04-09	655	15			
2020-04-10	698	17			
2020-04-11	750	17			
2020-04-12	806	20			
2020-04-13	815	23			
2020-04-14	884	27			
2020-04-15	903	30			
2020-04-16	958	33			
2020-04-17	1021	35			
2020-04-18	1077	39			
2020-04-19	1154	39			
2020-04-20	1189	41			
2020-04-21	1230	44			
2020-04-22	1283	47			
2020-04-23	1308	51			
2020-04-24	1419	54			
2020-04-25	1481	58			
2020-04-26	1548	61			
2020-04-27	1586	62			
2020-04-28	1649	71			
2020-04-29	1758	80			
2020-04-30	1827	82			
