date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	2	0			
2020-03-17	4	0			
2020-03-18	7	0			
2020-03-19	7	0			
2020-03-20	9	0			
2020-03-21	16	0			
2020-03-22	21	0			
2020-03-23	21	0			
2020-03-24	23	0			
2020-03-25	24	0			
2020-03-26	25	0			
2020-03-27	28	0			
2020-03-28	31	0			
2020-03-29	36	0			
2020-03-30	44	0			
2020-03-31	48	1			
2020-04-01	51	1			
2020-04-02	53	1			
2020-04-03	60	1			
2020-04-04	62	1			
2020-04-05	65	1			
2020-04-06	66	1			
2020-04-07	80	2			
2020-04-08	85	2			
2020-04-09	89	2			
2020-04-10	97	2			
2020-04-11	100	2			
2020-04-12	101	2			
2020-04-13	113	4			
2020-04-14	115	4			
2020-04-15	121	4			
2020-04-16	131	5			
2020-04-17	143	5			
2020-04-18	161	5			
2020-04-19	168	5			
2020-04-20	171	5			
2020-04-21	173	6			
2020-04-22	175	6			
2020-04-23	186	7			
2020-04-24	213	7			
2020-04-25	217	7			
2020-04-26	234	7			
2020-04-27	238	9			
2020-04-28	240	9			
2020-04-29	249	9			
2020-04-30	255	9			
