date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	0	0			
2020-03-19	0	0			
2020-03-20	1	0			
2020-03-21	2	0			
2020-03-22	2	0			
2020-03-23	2	0			
2020-03-24	7	0			
2020-03-25	8	0			
2020-03-26	11	0			
2020-03-27	11	0			
2020-03-28	13	0			
2020-03-29	16	0			
2020-03-30	18	0			
2020-03-31	25	0			
2020-04-01	27	0			
2020-04-02	36	0			
2020-04-03	44	1			
2020-04-04	56	1			
2020-04-05	60	1			
2020-04-06	76	1			
2020-04-07	78	1			
2020-04-08	90	1			
2020-04-09	108	2			
2020-04-10	112	2			
2020-04-11	121	3			
2020-04-12	123	3			
2020-04-13	134	4			
2020-04-14	138	4			
2020-04-15	151	4			
2020-04-16	156	5			
2020-04-17	162	5			
2020-04-18	171	5			
2020-04-19	174	5			
2020-04-20	181	6			
2020-04-21	181	6			
2020-04-22	183	6			
2020-04-23	221	7			
2020-04-24	240	8			
2020-04-25	247	9			
2020-04-26	250	9			
2020-04-27	257	10			
2020-04-28	261	11			
2020-04-29	292	11			
2020-04-30	297	11			
