date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	0	0			
2020-03-19	1	0			
2020-03-20	2	0			
2020-03-21	2	0			
2020-03-22	4	0			
2020-03-23	5	0			
2020-03-24	5	0			
2020-03-25	7	0			
2020-03-26	13	0			
2020-03-27	13	0			
2020-03-28	17	0			
2020-03-29	18	0			
2020-03-30	21	0			
2020-03-31	32	0			
2020-04-01	40	1			
2020-04-02	46	1			
2020-04-03	50	1			
2020-04-04	80	1			
2020-04-05	86	1			
2020-04-06	102	3			
2020-04-07	138	5			
2020-04-08	167	6			
2020-04-09	168	7			
2020-04-10	170	9			
2020-04-11	217	10			
2020-04-12	246	13			
2020-04-13	270	15			
2020-04-14	323	19			
2020-04-15	384	21			
2020-04-16	438	24			
2020-04-17	557	26			
2020-04-18	640	33			
2020-04-19	685	34			
2020-04-20	902	35			
2020-04-21	1026	38			
2020-04-22	1195	43			
2020-04-23	1267	53			
2020-04-24	1446	75			
2020-04-25	1579	86			
2020-04-26	1867	100			
2020-04-27	2128	114			
2020-04-28	2262	129			
2020-04-29	2422	137			
2020-04-30	2876	208			
