date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	6	0			
2020-03-13	6	0			
2020-03-14	6	0			
2020-03-15	6	0			
2020-03-16	6	0			
2020-03-17	6	0			
2020-03-18	13	0			
2020-03-19	23	0			
2020-03-20	32	0			
2020-03-21	43	0			
2020-03-22	50	0			
2020-03-23	56	0			
2020-03-24	65	0			
2020-03-25	81	0			
2020-03-26	102	0			
2020-03-27	119	2			
2020-03-28	133	2			
2020-03-29	148	2			
2020-03-30	155	3			
2020-03-31	179	3			
2020-04-01	224	3			
2020-04-02	252	4			
2020-04-03	301	4			
2020-04-04	395	6			
2020-04-05	438	9			
2020-04-06	458	11			
2020-04-07	503	15			
2020-04-08	539	17			
2020-04-09	609	22			
2020-04-10	643	25			
2020-04-11	676	26			
2020-04-12	738	30			
2020-04-13	756	31			
2020-04-14	791	36			
2020-04-15	803	38			
2020-04-16	832	41			
2020-04-17	874	42			
2020-04-18	945	46			
2020-04-19	987	48			
2020-04-20	1007	51			
2020-04-21	1024	51			
2020-04-22	1063	57			
2020-04-23	1082	60			
2020-04-24	1119	64			
2020-04-25	1140	69			
2020-04-26	1156	72			
2020-04-27	1186	75			
2020-04-28	1271	77			
2020-04-29	1348	82			
2020-04-30	1407	83			
