date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	2	0			
2020-03-08	3	0			
2020-03-09	3	0			
2020-03-10	8	0			
2020-03-11	13	0			
2020-03-12	16	0			
2020-03-13	16	0			
2020-03-14	22	0			
2020-03-15	24	0			
2020-03-16	31	0			
2020-03-17	33	0			
2020-03-18	45	0			
2020-03-19	65	2			
2020-03-20	109	2			
2020-03-21	119	3			
2020-03-22	186	3			
2020-03-23	233	4			
2020-03-24	305	6			
2020-03-25	370	6			
2020-03-26	421	9			
2020-03-27	493	10			
2020-03-28	558	13			
2020-03-29	600	17			
2020-03-30	657	18			
2020-03-31	708	23			
2020-04-01	832	28			
2020-04-02	992	41			
2020-04-03	1074	47			
2020-04-04	1246	58			
2020-04-05	1394	64			
2020-04-06	1461	71			
2020-04-07	1688	89			
2020-04-08	1938	106			
2020-04-09	2216	122			
2020-04-10	2464	147			
2020-04-11	2607	155			
2020-04-12	2855	170			
2020-04-13	3231	188			
2020-04-14	3410	224			
2020-04-15	3743	265			
2020-04-16	3944	300			
2020-04-17	4349	341			
2020-04-18	4543	387			
2020-04-19	4765	402			
2020-04-20	4899	422			
2020-04-21	5306	461			
2020-04-22	5552	490			
2020-04-23	6172	530			
2020-04-24	6282	570			
2020-04-25	6828	615			
2020-04-26	7111	645			
2020-04-27	7944	677			
2020-04-28	8504	738			
2020-04-29	8869	794			
2020-04-30	9453	854			
