date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	1	0			
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	6	0			
2020-03-22	9	0			
2020-03-23	13	0			
2020-03-24	13	0			
2020-03-25	14	0			
2020-03-26	19	0			
2020-03-27	28	0			
2020-03-28	45	0			
2020-03-29	68	1			
2020-03-30	77	1			
2020-03-31	82	1			
2020-04-01	92	2			
2020-04-02	105	2			
2020-04-03	176	4			
2020-04-04	212	5			
2020-04-05	242	7			
2020-04-06	246	7			
2020-04-07	254	8			
2020-04-08	261	11			
2020-04-09	261	11			
2020-04-10	263	11			
2020-04-11	289	13			
2020-04-12	302	15			
2020-04-13	339	17			
2020-04-14	376	18			
2020-04-15	399	19			
2020-04-16	400	20			
2020-04-17	463	23			
2020-04-18	516	24			
2020-04-19	531	25			
2020-04-20	595	27			
2020-04-21	608	28			
2020-04-22	646	29			
2020-04-23	708	34			
2020-04-24	754	38			
2020-04-25	781	40			
2020-04-26	825	44			
2020-04-27	832	45			
2020-04-28	857	48			
2020-04-29	1086	53			
2020-04-30	1177	56			
