date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	1	0			
2020-03-11	2	0			
2020-03-12	4	0			
2020-03-13	4	0			
2020-03-14	6	0			
2020-03-15	6	0			
2020-03-16	6	0			
2020-03-17	10	0			
2020-03-18	19	0			
2020-03-19	28	0			
2020-03-20	37	0			
2020-03-21	60	0			
2020-03-22	72	0			
2020-03-23	86	0			
2020-03-24	98	0			
2020-03-25	123	1			
2020-03-26	168	1			
2020-03-27	195	2			
2020-03-28	197	2			
2020-03-29	226	2			
2020-03-30	241	3			
2020-03-31	274	4			
2020-04-01	306	4			
2020-04-02	334	5			
2020-04-03	396	5			
2020-04-04	410	6			
2020-04-05	418	7			
2020-04-06	481	7			
2020-04-07	508	8			
2020-04-08	555	9			
2020-04-09	618	12			
2020-04-10	636	14			
2020-04-11	640	15			
2020-04-12	653	16			
2020-04-13	664	16			
2020-04-14	700	18			
2020-04-15	747	19			
2020-04-16	780	19			
2020-04-17	802	22			
2020-04-18	831	24			
2020-04-19	854	24			
2020-04-20	889	27			
2020-04-21	904	27			
2020-04-22	923	27			
2020-04-23	994	29			
2020-04-24	1061	31			
2020-04-25	1096	34			
2020-04-26	1166	35			
2020-04-27	1228	42			
2020-04-28	1286	45			
2020-04-29	1368	50			
2020-04-30	1466	51			
