date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	2	0			
2020-03-14	4	0			
2020-03-15	6	0			
2020-03-16	7	0			
2020-03-17	7	0			
2020-03-18	10	0			
2020-03-19	20	0			
2020-03-20	21	0			
2020-03-21	51	0			
2020-03-22	57	0			
2020-03-23	68	0			
2020-03-24	107	0			
2020-03-25	109	0			
2020-03-26	122	1			
2020-03-27	149	1			
2020-03-28	184	1			
2020-03-29	194	1			
2020-03-30	197	1			
2020-03-31	219	2			
2020-04-01	235	2			
2020-04-02	247	2			
2020-04-03	281	5			
2020-04-04	334	5			
2020-04-05	357	10			
2020-04-06	379	10			
2020-04-07	417	11			
2020-04-08	457	15			
2020-04-09	501	17			
2020-04-10	693	18			
2020-04-11	732	21			
2020-04-12	768	24			
2020-04-13	777	24			
2020-04-14	826	26			
2020-04-15	853	28			
2020-04-16	884	29			
2020-04-17	926	30			
2020-04-18	962	31			
2020-04-19	975	32			
2020-04-20	1025	35			
2020-04-21	1063	35			
2020-04-22	1091	37			
2020-04-23	1115	39			
2020-04-24	1170	42			
2020-04-25	1209	42			
2020-04-26	1235	42			
2020-04-27	1337	43			
2020-04-28	1476	44			
2020-04-29	1995	44			
2020-04-30	2085	46			
