date	cont	obt			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	0	0			
2020-03-11	0	0			
2020-03-12	0	0			
2020-03-13	0	0			
2020-03-14	0	0			
2020-03-15	0	0			
2020-03-16	0	0			
2020-03-17	0	0			
2020-03-18	0	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	2	0			
2020-03-22	2	0			
2020-03-23	5	0			
2020-03-24	7	0			
2020-03-25	7	0			
2020-03-26	7	0			
2020-03-27	8	0			
2020-03-28	9	0			
2020-03-29	9	0			
2020-03-30	10	0			
2020-03-31	11	0			
2020-04-01	12	0			
2020-04-02	12	0			
2020-04-03	12	0			
2020-04-04	14	0			
2020-04-05	17	0			
2020-04-06	17	0			
2020-04-07	19	0			
2020-04-08	23	0			
2020-04-09	23	0			
2020-04-10	23	0			
2020-04-11	23	0			
2020-04-12	25	0			
2020-04-13	26	0			
2020-04-14	26	0			
2020-04-15	26	1			
2020-04-16	29	1			
2020-04-17	31	1			
2020-04-18	33	1			
2020-04-19	33	1			
2020-04-20	34	1			
2020-04-21	37	1			
2020-04-22	37	1			
2020-04-23	37	2			
2020-04-24	43	2			
2020-04-25	50	2			
2020-04-26	58	2			
2020-04-27	67	2			
2020-04-28	79	2			
2020-04-29	116	3			
2020-04-30	137	3			
