date	cont	obt
2020-01-22	0	0
2020-01-23	0	0
2020-01-24	0	0
2020-01-25	0	0
2020-01-26	0	0
2020-01-27	0	0
2020-01-28	0	0
2020-01-29	0	0
2020-01-30	0	0
2020-01-31	0	0
2020-02-01	0	0
2020-02-02	0	0
2020-02-03	0	0
2020-02-04	0	0
2020-02-05	0	0
2020-02-06	0	0
2020-02-07	0	0
2020-02-08	0	0
2020-02-09	0	0
2020-02-10	0	0
2020-02-11	0	0
2020-02-12	0	0
2020-02-13	0	0
2020-02-14	1	0
2020-02-15	1	0
2020-02-16	1	0
2020-02-17	1	0
2020-02-18	1	0
2020-02-19	1	0
2020-02-20	1	0
2020-02-21	1	0
2020-02-22	1	0
2020-02-23	1	0
2020-02-24	1	0
2020-02-25	2	0
2020-02-26	2	0
2020-02-27	2	0
2020-02-28	3	0
2020-02-29	3	0
2020-03-01	4	0
2020-03-02	8	0
2020-03-03	11	0
2020-03-04	21	0
2020-03-05	24	0
2020-03-06	43	0
2020-03-07	43	0
2020-03-08	83	1
2020-03-09	91	1
2020-03-10	104	2
2020-03-11	118	2
2020-03-12	134	3
2020-03-13	177	6
2020-03-14	254	7
2020-03-15	313	8
2020-03-16	400	8
2020-03-17	484	11
2020-03-18	601	17
2020-03-19	781	20
2020-03-20	969	26
2020-03-21	1172	36
2020-03-22	1437	48
2020-03-23	1818	57
2020-03-24	2250	64
2020-03-25	2773	73
2020-03-26	3326	91
2020-03-27	3885	115
2020-03-28	4225	134
2020-03-29	4786	152
2020-03-30	5196	173
2020-03-31	5781	200
2020-04-01	6380	234
2020-04-02	7032	287
2020-04-03	7913	331
2020-04-04	8592	383
2020-04-05	9302	444
2020-04-06	10003	487
2020-04-07	10636	533
2020-04-08	11440	574
2020-04-09	12253	627
2020-04-10	12917	693
2020-04-11	13631	742
2020-04-12	14497	788
2020-04-13	15281	834
2020-04-14	16244	873
2020-04-15	17198	910
2020-04-16	18366	965
2020-04-17	19773	1016
2020-04-18	21078	1058
2020-04-19	22287	1121
2020-04-20	23460	1159
2020-04-21	24515	1189
2020-04-22	25917	1240
2020-04-23	27367	1297
2020-04-24	29074	1324
2020-04-25	30305	1375
2020-04-26	31839	1423
2020-04-27	33173	1462
2020-04-28	34800	1523
2020-04-29	36813	1588
2020-04-30	38826	1634
