date	cont	obt
2020-01-22	1	0
2020-01-23	1	0
2020-01-24	2	0
2020-01-25	2	0
2020-01-26	6	0
2020-01-27	6	0
2020-01-28	7	0
2020-01-29	7	0
2020-01-30	7	0
2020-01-31	11	0
2020-02-01	12	0
2020-02-02	12	0
2020-02-03	15	0
2020-02-04	15	0
2020-02-05	16	0
2020-02-06	16	0
2020-02-07	18	0
2020-02-08	18	0
2020-02-09	18	0
2020-02-10	18	0
2020-02-11	19	0
2020-02-12	19	0
2020-02-13	20	0
2020-02-14	20	0
2020-02-15	20	0
2020-02-16	20	0
2020-02-17	21	0
2020-02-18	21	0
2020-02-19	21	0
2020-02-20	21	0
2020-02-21	24	0
2020-02-22	24	0
2020-02-23	24	0
2020-02-24	61	0
2020-02-25	62	0
2020-02-26	68	0
2020-02-27	71	0
2020-02-28	75	0
2020-02-29	92	1
2020-03-01	103	1
2020-03-02	130	6
2020-03-03	153	7
2020-03-04	187	11
2020-03-05	259	12
2020-03-06	317	14
2020-03-07	462	17
2020-03-08	589	21
2020-03-09	667	23
2020-03-10	1045	29
2020-03-11	1397	37
2020-03-12	1792	42
2020-03-13	2398	50
2020-03-14	2966	59
2020-03-15	3804	74
2020-03-16	5129	103
2020-03-17	6992	138
2020-03-18	8558	172
2020-03-19	14711	268
2020-03-20	20419	363
2020-03-21	27128	463
2020-03-22	35061	610
2020-03-23	46298	815
2020-03-24	56931	1039
2020-03-25	69504	1352
2020-03-26	88463	1772
2020-03-27	107056	2331
2020-03-28	127889	2808
2020-03-29	148182	3504
2020-03-30	170323	4300
2020-03-31	197914	5497
2020-04-01	224180	6647
2020-04-02	256416	8110
2020-04-03	289492	9485
2020-04-04	323518	11152
2020-04-05	354701	12728
2020-04-06	385319	14358
2020-04-07	417778	16707
2020-04-08	450976	18851
2020-04-09	486875	20952
2020-04-10	522438	23123
2020-04-11	553931	25269
2020-04-12	584273	27096
2020-04-13	611313	28983
2020-04-14	640104	31569
2020-04-15	670406	34191
2020-04-16	704698	36572
2020-04-17	739395	39313
2020-04-18	774050	41804
2020-04-19	802703	43196
2020-04-20	830756	45098
2020-04-21	860768	47853
2020-04-22	892558	50460
2020-04-23	924102	53034
2020-04-24	963149	55116
2020-04-25	998367	57631
2020-04-26	1028495	58919
2020-04-27	1053342	60534
2020-04-28	1080484	62907
2020-04-29	1110573	65854
2020-04-30	1143105	68165
