date	cont	obt
2020-01-22	554	17
2020-01-23	653	18
2020-01-24	937	26
2020-01-25	1429	42
2020-01-26	2105	56
2020-01-27	2912	82
2020-01-28	5558	131
2020-01-29	6143	133
2020-01-30	8208	171
2020-01-31	9889	213
2020-02-01	11991	259
2020-02-02	16738	362
2020-02-03	19827	426
2020-02-04	23836	492
2020-02-05	27578	564
2020-02-06	30736	634
2020-02-07	34327	719
2020-02-08	37051	806
2020-02-09	40079	906
2020-02-10	42686	1013
2020-02-11	44723	1113
2020-02-12	45141	1118
2020-02-13	60287	1371
2020-02-14	66803	1523
2020-02-15	68947	1665
2020-02-16	71141	1769
2020-02-17	73174	1867
2020-02-18	75052	2006
2020-02-19	75555	2121
2020-02-20	76113	2246
2020-02-21	76715	2249
2020-02-22	78426	2455
2020-02-23	78719	2465
2020-02-24	79207	2621
2020-02-25	79946	2697
2020-02-26	80760	2756
2020-02-27	81851	2795
2020-02-28	82922	2849
2020-02-29	84421	2909
2020-03-01	86019	2958
2020-03-02	87395	3023
2020-03-03	89262	3067
2020-03-04	90496	3127
2020-03-05	91776	3174
2020-03-06	93819	3228
2020-03-07	95566	3280
2020-03-08	96778	3365
2020-03-09	97649	3438
2020-03-10	98843	3511
2020-03-11	100591	3612
2020-03-12	101886	3707
2020-03-13	103730	3812
2020-03-14	105629	3936
2020-03-15	107566	4065
2020-03-16	109189	4215
2020-03-17	111195	4376
2020-03-18	113192	4560
2020-03-19	115540	4735
2020-03-20	117901	4917
2020-03-21	120609	5070
2020-03-22	123779	5282
2020-03-23	126849	5438
2020-03-24	130554	5609
2020-03-25	135922	5803
2020-03-26	141394	6045
2020-03-27	148432	6257
2020-03-28	155760	6467
2020-03-29	163070	6673
2020-03-30	170043	6883
2020-03-31	178793	7133
2020-04-01	187273	7425
2020-04-02	196507	7723
2020-04-03	205092	8004
2020-04-04	214000	8314
2020-04-05	223292	8609
2020-04-06	233905	8931
2020-04-07	243349	9225
2020-04-08	252875	9526
2020-04-09	263146	9888
2020-04-10	274446	10219
2020-04-11	286310	10586
2020-04-12	297968	10984
2020-04-13	309768	11327
2020-04-14	320827	11718
2020-04-15	332312	12016
2020-04-16	344993	12411
2020-04-17	357776	14064
2020-04-18	369703	14398
2020-04-19	382705	14783
2020-04-20	395194	15102
2020-04-21	409421	15488
2020-04-22	421355	15831
2020-04-23	434923	16209
2020-04-24	448036	16598
2020-04-25	460140	16947
2020-04-26	471688	17238
2020-04-27	483177	17581
2020-04-28	494168	17904
2020-04-29	506687	18270
2020-04-30	519738	18627
