date	cont	obt
2020-01-22	0	0
2020-01-23	0	0
2020-01-24	0	0
2020-01-25	0	0
2020-01-26	0	0
2020-01-27	0	0
2020-01-28	0	0
2020-01-29	0	0
2020-01-30	0	0
2020-01-31	0	0
2020-02-01	0	0
2020-02-02	0	0
2020-02-03	0	0
2020-02-04	0	0
2020-02-05	0	0
2020-02-06	0	0
2020-02-07	0	0
2020-02-08	0	0
2020-02-09	0	0
2020-02-10	0	0
2020-02-11	0	0
2020-02-12	0	0
2020-02-13	0	0
2020-02-14	0	0
2020-02-15	0	0
2020-02-16	0	0
2020-02-17	0	0
2020-02-18	0	0
2020-02-19	0	0
2020-02-20	0	0
2020-02-21	0	0
2020-02-22	0	0
2020-02-23	0	0
2020-02-24	0	0
2020-02-25	0	0
2020-02-26	1	0
2020-02-27	1	0
2020-02-28	1	0
2020-02-29	2	0
2020-03-01	8	0
2020-03-02	8	0
2020-03-03	11	0
2020-03-04	16	0
2020-03-05	22	0
2020-03-06	34	0
2020-03-07	40	0
2020-03-08	62	1
2020-03-09	69	1
2020-03-10	91	1
2020-03-11	124	1
2020-03-12	143	2
2020-03-13	293	3
2020-03-14	358	5
2020-03-15	421	5
2020-03-16	637	5
2020-03-17	920	6
2020-03-18	1155	8
2020-03-19	1643	13
2020-03-20	2259	23
2020-03-21	2964	33
2020-03-22	4125	53
2020-03-23	4937	68
2020-03-24	5746	94
2020-03-25	6568	115
2020-03-26	7688	143
2020-03-27	8856	168
2020-03-28	10144	211
2020-03-29	11197	256
2020-03-30	12180	298
2020-03-31	14386	376
2020-04-01	16751	449
2020-04-02	19044	596
2020-04-03	21067	679
2020-04-04	23412	822
2020-04-05	25318	892
2020-04-06	27325	1012
2020-04-07	30200	1172
2020-04-08	35244	1390
2020-04-09	39365	1604
2020-04-10	44733	1798
2020-04-11	47575	1925
2020-04-12	50458	2081
2020-04-13	54529	2247
2020-04-14	57583	2511
2020-04-15	62786	2774
2020-04-16	67138	3027
2020-04-17	72424	3318
2020-04-18	77530	3630
2020-04-19	82043	3847
2020-04-20	86259	4071
2020-04-21	91028	4306
2020-04-22	96383	4567
2020-04-23	103805	5093
2020-04-24	121198	5572
2020-04-25	131250	6019
2020-04-26	138131	6308
2020-04-27	145073	6792
2020-04-28	155415	7587
2020-04-29	166066	8149
2020-04-30	178499	8807
