date	cont	obt
2020-01-22	0	0
2020-01-23	0	0
2020-01-24	2	0
2020-01-25	3	0
2020-01-26	3	0
2020-01-27	4	0
2020-01-28	8	0
2020-01-29	10	0
2020-01-30	10	0
2020-01-31	18	0
2020-02-01	23	0
2020-02-02	25	0
2020-02-03	27	0
2020-02-04	28	0
2020-02-05	28	0
2020-02-06	28	0
2020-02-07	31	0
2020-02-08	36	0
2020-02-09	38	0
2020-02-10	43	0
2020-02-11	45	0
2020-02-12	46	0
2020-02-13	46	0
2020-02-14	46	0
2020-02-15	47	1
2020-02-16	47	1
2020-02-17	47	1
2020-02-18	47	1
2020-02-19	47	1
2020-02-20	47	1
2020-02-21	64	2
2020-02-22	106	3
2020-02-23	199	4
2020-02-24	277	8
2020-02-25	381	11
2020-02-26	542	14
2020-02-27	806	19
2020-02-28	1095	23
2020-02-29	1467	31
2020-03-01	2206	36
2020-03-02	2733	55
2020-03-03	3362	85
2020-03-04	4344	114
2020-03-05	5746	159
2020-03-06	7521	215
2020-03-07	9665	259
2020-03-08	12218	410
2020-03-09	15004	521
2020-03-10	18410	717
2020-03-11	23483	958
2020-03-12	24219	964
2020-03-13	38346	1533
2020-03-14	46560	1819
2020-03-15	54952	2316
2020-03-16	65731	2814
2020-03-17	76884	3417
2020-03-18	90546	4056
2020-03-19	108949	4897
2020-03-20	129476	6079
2020-03-21	150980	7508
2020-03-22	170133	8814
2020-03-23	195641	10360
2020-03-24	219335	12183
2020-03-25	249081	14410
2020-03-26	284136	16698
2020-03-27	319801	19365
2020-03-28	356455	22109
2020-03-29	385949	24651
2020-03-30	416964	27682
2020-03-31	452242	30910
2020-04-01	488911	34780
2020-04-02	524606	38947
2020-04-03	561820	43140
2020-04-04	595414	47126
2020-04-05	625315	50183
2020-04-06	652515	53735
2020-04-07	681616	58758
2020-04-08	716215	62721
2020-04-09	749646	67497
2020-04-10	788334	71949
2020-04-11	818924	75269
2020-04-12	871713	78497
2020-04-13	897515	81746
2020-04-14	923682	85342
2020-04-15	955042	90324
2020-04-16	998438	94505
2020-04-17	1031294	98599
2020-04-18	1055315	101798
2020-04-19	1090918	104287
2020-04-20	1115265	107112
2020-04-21	1142140	110827
2020-04-22	1166660	114217
2020-04-23	1195695	117401
2020-04-24	1211138	120726
2020-04-25	1237230	123531
2020-04-26	1260428	125308
2020-04-27	1283965	127401
2020-04-28	1307063	130149
2020-04-29	1326116	133050
2020-04-30	1349995	135338
