date	cont	obt
2020-01-22	0	0
2020-01-23	0	0
2020-01-24	0	0
2020-01-25	0	0
2020-01-26	4	0
2020-01-27	5	0
2020-01-28	5	0
2020-01-29	6	0
2020-01-30	9	0
2020-01-31	9	0
2020-02-01	12	0
2020-02-02	12	0
2020-02-03	12	0
2020-02-04	13	0
2020-02-05	13	0
2020-02-06	14	0
2020-02-07	15	0
2020-02-08	15	0
2020-02-09	15	0
2020-02-10	15	0
2020-02-11	15	0
2020-02-12	15	0
2020-02-13	15	0
2020-02-14	15	0
2020-02-15	15	0
2020-02-16	15	0
2020-02-17	15	0
2020-02-18	15	0
2020-02-19	15	0
2020-02-20	15	0
2020-02-21	15	0
2020-02-22	15	0
2020-02-23	15	0
2020-02-24	15	0
2020-02-25	15	0
2020-02-26	15	0
2020-02-27	15	0
2020-02-28	16	0
2020-02-29	26	0
2020-03-01	28	1
2020-03-02	31	1
2020-03-03	40	1
2020-03-04	55	2
2020-03-05	58	2
2020-03-06	64	2
2020-03-07	68	2
2020-03-08	81	3
2020-03-09	96	3
2020-03-10	112	3
2020-03-11	133	3
2020-03-12	133	3
2020-03-13	205	3
2020-03-14	256	3
2020-03-15	305	3
2020-03-16	385	3
2020-03-17	464	5
2020-03-18	588	6
2020-03-19	710	6
2020-03-20	832	7
2020-03-21	1125	7
2020-03-22	1654	7
2020-03-23	1788	7
2020-03-24	2204	8
2020-03-25	2575	8
2020-03-26	3099	13
2020-03-27	3517	13
2020-03-28	4099	14
2020-03-29	4506	17
2020-03-30	4958	18
2020-03-31	5214	19
2020-04-01	5585	23
2020-04-02	5930	27
2020-04-03	6215	31
2020-04-04	6522	33
2020-04-05	6748	38
2020-04-06	6928	43
2020-04-07	7081	48
2020-04-08	7246	53
2020-04-09	7373	54
2020-04-10	7525	58
2020-04-11	7642	63
2020-04-12	7672	66
2020-04-13	7727	68
2020-04-14	7808	73
2020-04-15	7853	74
2020-04-16	7896	74
2020-04-17	7964	79
2020-04-18	8023	80
2020-04-19	8074	81
2020-04-20	8097	81
2020-04-21	8124	82
2020-04-22	8138	83
2020-04-23	8153	94
2020-04-24	8173	99
2020-04-25	8199	100
2020-04-26	8218	104
2020-04-27	8228	104
2020-04-28	8253	110
2020-04-29	8263	112
2020-04-30	8280	114
